NAME                                    VERSION                TYPE                     
#ZipLibrary                             4.84.0.0               dotnet                    
ADSModule                               1.0.0.0                dotnet                    
AMPModuleTemplate                       1.0.0.1                dotnet                    
ARKModule                               1.0.0.0                dotnet                    
ASP.Net WebPages                        1.0.20105.407          dotnet                    
AnalyticsPlugin                         1.0.0.0                dotnet                    
Arma3Module                             1.0.0.0                dotnet                    
BannerImagePlugin                       1.0.0.0                dotnet                    
C# LDAP                                 4.0.0.0                dotnet                    
CommonCorePlugin                        1.0.0.0                dotnet                    
Commons.Xml.Relaxng.dll                 0.0.0.1                dotnet                    
EmailSenderPlugin                       1.0.0.0                dotnet                    
FactorioModule                          1.0.0.0                dotnet                    
FileManagerPlugin                       1.0.0.0                dotnet                    
FiveMModule                             1.0.0.0                dotnet                    
GenericModule                           1.0.0.0                dotnet                    
I18N.CJK.dll                            4.0.0.0                dotnet                    
I18N.MidEast.dll                        4.0.0.0                dotnet                    
I18N.Other.dll                          4.0.0.0                dotnet                    
I18N.Rare.dll                           4.0.0.0                dotnet                    
I18N.West.dll                           4.0.0.0                dotnet                    
I18N.dll                                4.0.0.0                dotnet                    
IBM.Data.DB2.dll                        1.0.0.0                dotnet                    
InstanceManagerPlugin                   1.0.0.0                dotnet                    
JC2MPModule                             1.0.0.0                dotnet                    
LocalFileBackupPlugin                   1.0.0.0                dotnet                    
MONO CLI                                4.0.0.0                dotnet  (+4 duplicates)   
MONO CLI                                4.6.57.0               dotnet  (+1 duplicate)    
Microsoft.VisualC.dll                   10.0.0.0               dotnet                    
MinecraftModule                         1.0.0.3                dotnet                    
Mono Common Language Infrastructure     11.0.0.0               dotnet                    
Mono Common Language Infrastructure     4.0.0.0                dotnet                    
Mono Common Language Infrastructure     4.6.57.0               dotnet  (+73 duplicates)  
Mono Security Tools                     6.12.0.182             dotnet                    
Mono.Cairo.dll                          4.0.0.0                dotnet                    
Mono.Cecil                              0.11.1.0               dotnet                    
Mono.Cecil                              0.9.5.0                dotnet                    
Mono.CompilerServices.SymbolWriter.dll  4.0.0.0                dotnet                    
Mono.Data.Tds.dll                       4.0.0.0                dotnet                    
Mono.Debugger.Soft.dll                  4.0.0.0                dotnet                    
Mono.Management.dll                     4.0.0.0                dotnet                    
Mono.Parallel.dll                       4.0.0.0                dotnet                    
Mono.Posix.dll                          4.0.0.0                dotnet                    
Mono.Tasklets.dll                       4.0.0.0                dotnet                    
Mono.WebBrowser                         4.6.57.0               dotnet                    
PEAPI.dll                               4.0.0.0                dotnet                    
RCONClient                              1.0.0.1                dotnet                    
RustModule                              1.0.0.0                dotnet                    
SMDiagnostics.dll                       4.6.57.0               dotnet                    
SevenDaysModule                         1.0.0.0                dotnet                    
SpaceEngineersModule                    1.0.0.2                dotnet                    
StarBoundModule                         1.0.0.0                dotnet                    
System.Data.SQLite                      1.0.61.0               dotnet                    
System.Json                             4.6.57.0               dotnet                    
System.Memory                           4.6.28619.01           dotnet                    
System.Net.Http.Formatting              4.0.0.0                dotnet                    
System.Reactive.Core                    2.2.0.0                dotnet                    
System.Reactive.Debugger                2.2.0.0                dotnet                    
System.Reactive.Experimental            2.2.0.0                dotnet                    
System.Reactive.Interfaces              2.2.0.0                dotnet                    
System.Reactive.Linq                    2.2.0.0                dotnet                    
System.Reactive.Observable.Aliases.dll  0.0.0.0                dotnet                    
System.Reactive.PlatformServices        2.2.0.0                dotnet                    
System.Reactive.Providers               2.2.0.0                dotnet                    
System.Reactive.Runtime.Remoting        2.2.0.0                dotnet                    
System.Reactive.Windows.Forms           2.2.0.0                dotnet                    
System.Reactive.Windows.Threading       2.2.0.0                dotnet                    
System.Runtime.CompilerServices.Unsafe  5.0.20.51904           dotnet                    
System.ServiceModel.Internals.dll       4.6.57.0               dotnet                    
System.Threading.Tasks.Extensions       4.6.28619.01           dotnet                    
System.Web.Http                         4.0.0.0                dotnet                    
System.Web.Http.SelfHost                4.0.0.0                dotnet                    
System.Web.Http.WebHost                 4.0.0.0                dotnet                    
System.Web.Mvc.dll                      3.0.20107.0            dotnet                    
System.Web.Razor                        4.6.57.0               dotnet                    
System.Web.WebPages                     4.6.57.0               dotnet                    
System.Web.WebPages.Deployment          4.6.57.0               dotnet                    
System.Web.WebPages.Razor               4.6.57.0               dotnet                    
SystemUserManagerPlugin                 1.0.0.0                dotnet                    
TerrariaModule                          1.0.0.0                dotnet                    
TheForestModule                         1.0.0.0                dotnet                    
WebMatrix.Data.dll                      4.0.0.0                dotnet                    
WebRequestPlugin                        1.0.0.0                dotnet                    
alpine-baselayout                       3.4.3-r2               apk                       
alpine-baselayout-data                  3.4.3-r2               apk                       
alpine-keys                             2.4-r1                 apk                       
alpine-release                          3.19.2-r0              apk                       
apk-tools                               2.14.4-r0              apk                       
bash                                    5.2.21-r0              apk                       
brotli-libs                             1.1.0-r1               apk                       
busybox                                 1.36.1-r19             apk                       
busybox-binsh                           1.36.1-r19             apk                       
c-ares                                  1.27.0-r0              apk                       
ca-certificates                         20240226-r0            apk                       
ca-certificates-bundle                  20240226-r0            apk                       
ca-certificates-mono                    6.12.0.182-r0          apk                       
catatonit                               0.2.0-r0               apk                       
coreutils                               9.4-r2                 apk                       
coreutils-env                           9.4-r2                 apk                       
coreutils-fmt                           9.4-r2                 apk                       
coreutils-sha512sum                     9.4-r2                 apk                       
curl                                    8.5.0-r0               apk                       
findutils                               4.9.0-r5               apk                       
gacutil.exe                             0.0.0.0                dotnet                    
gcompat                                 1.1.0-r4               apk                       
git                                     2.43.4-r0              apk                       
glibc                                   2.37-r0                apk                       
glibc-bin                               2.37-r0                apk                       
iputils                                 20221126-r2            apk                       
iputils-arping                          20221126-r2            apk                       
iputils-clockdiff                       20221126-r2            apk                       
iputils-ping                            20221126-r2            apk                       
iputils-tracepath                       20221126-r2            apk                       
jq                                      1.7.1-r0               apk                       
libacl                                  2.3.1-r4               apk                       
libattr                                 2.5.1-r5               apk                       
libbsd                                  0.11.7-r3              apk                       
libc-utils                              0.7.2-r5               apk                       
libcap2                                 2.69-r1                apk                       
libcrypto3                              3.1.5-r0               apk                       
libcurl                                 8.5.0-r0               apk                       
libevent                                2.1.12-r7              apk                       
libexpat                                2.6.2-r0               apk                       
libgcc                                  13.2.1_git20231014-r0  apk                       
libidn2                                 2.3.4-r4               apk                       
libintl                                 0.22.3-r0              apk                       
libmd                                   1.1.0-r0               apk                       
libncursesw                             6.4_p20231125-r0       apk                       
libproc2                                4.0.4-r0               apk                       
libssl3                                 3.1.5-r0               apk                       
libucontext                             1.2-r2                 apk                       
libunistring                            1.1-r2                 apk                       
linux-pam                               1.5.3-r7               apk                       
mono-reference-assemblies               6.12.0.182-r0          apk                       
mono-runtime                            6.12.0.182-r0          apk                       
musl                                    1.2.4_git20230717-r4   apk                       
musl-obstack                            1.2.3-r2               apk                       
musl-utils                              1.2.4_git20230717-r4   apk                       
ncurses-terminfo-base                   6.4_p20231125-r0       apk                       
netcat-openbsd                          1.226-r0               apk                       
nghttp2-libs                            1.58.0-r0              apk                       
oniguruma                               6.9.9-r0               apk                       
pcre2                                   10.42-r2               apk                       
procps-ng                               4.0.4-r0               apk                       
readline                                8.2.1-r2               apk                       
scanelf                                 1.3.7-r2               apk                       
shadow                                  4.14.2-r0              apk                       
skalibs                                 2.14.0.1-r0            apk                       
socat                                   1.8.0.0-r0             apk                       
srcds                                   1.0.0.0                dotnet                    
srcdsModule                             1.0.0.1                dotnet                    
ssl_client                              1.36.1-r19             apk                       
tmux                                    3.3a_git20230428-r0    apk                       
tzdata                                  2024a-r0               apk                       
unzip                                   6.0-r14                apk                       
utmps-libs                              0.1.2.2-r0             apk                       
zlib                                    1.3.1-r0               apk                       
